Rank,Company_Name,Year,Industry,Env_Sector,Financial_Sector,Country,Legal_Origin,GDP_Per_Capita,LN_GDP_Per_Capita,GDP,LN_GDP,Environmental_Performance_Index,Social_Progress_Index,Governance_Index,Sustainable_Competitiveness_Index,Institutions,Security,Security_1_Organized_Crime,Security_2_Homicide_Rate,Secuirt_3_Terrorism_Incidence,Security_4_Reliability_Policy_Services,Social_Capital,Checks_Balances,Check_Balance_1_Budget_Transparency,Check_Balance_2_Judicial_Independence,Check_Balance_3_Efficiency_Legal_Framework,Check_Balance_4_Freedom_Press,Public_Sector_Performance,Public_Sector_Performance_1_Burden_Government_Regulation,Public_Sector_Performance_2_Efficiency_Legal_Framework,Public_Sector_Performance_3_EParticipation,Transparency_Corruption,Property_Rights,Property_Rights_1_Property_Rigths,Property_Rights_2_Intellectual_Property_Protection,Property_Rights_3_Quality_Land_Administration,Corporate_Governance,CG_1_Strength_Auditing_Accounting_Standards,CG_2_Conflict_Interest_Regulation,CG_3_Shareholder_Governance,Future_Orientation_Government,FOG_1_Government_Ensuring_Policy_Stability,FOG_2_Government_Responsiveness_Change,FOG_3_Adaptability_Digital_Business_Models,FOG_4_Government_Long_Term_Vision,FOG_5_Energy_Efficiency_Regulation,FOG_6_Renewable_Energy_Regulation,FOG_7_Environment_Treaties,Number_of_Employees,LN_N_Employees,Revenues,Profits,Assets,LN_Assets,ROA,SR_1,GRI,IR,Environment_SP,Social_SP,Governance_SP,ESG
255,E.ON,2020,Energy,High Risk,Non-Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,78948,11.27654469,46861,1752.8,110631,11.61395562,0.01584366,1,1,0,36,31,34,34
256,Merck,2020,Health Care,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,71000,11.17043516,46840,9843,84397,11.34328713,0.116627368,1,1,1,66,32,37,38
257,American Airlines Group,2020,Transportation,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,133700,11.80335376,45768,1686,59995,11.0020165,0.028102342,1,1,0,36,63,59,54
258,Charter Communications,2020,Telecommunications,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,95100,11.46268425,45764,1668,148188,11.90623702,0.011255972,0,0,0,13,19,22,19
259,Volvo,2020,Motor Vehicles & Parts,High Risk,Non-Financial,Sweden,Code Law (Stakeholder-Oriented),52274.4,10.86426205,533611.85,13.18742398,78.7,91.2,93.4,61.2,75.2,83.9,70.4,98,98.5,68.9,59.5,78,87,76.8,56.6,91.7,69.3,45.9,68.2,93.8,85,81.3,75.4,76.9,91.7,72.9,82.8,63,73,71.6,62.6,56.1,67.9,55.6,67.6,80.4,100,98280,11.49557583,45690,3793,56077,10.93448103,0.067639139,1,1,0,81,71,67,73
260,Woolworths Group,2020,Food & Drug Stores,High Risk,Non-Financial,Australia,Common-Law (Shareholder-Oriented),51692.8,10.85307379,1490967.84,14.21493602,74.9,90.28,82.93,49.3,72.9,89.8,76.9,99,99.2,84.2,66.8,72.7,74,82.9,50.4,83.5,66,39.8,59.8,98.3,77,76.6,84.5,78.6,66.7,67.1,81.2,60,60,67.5,61.5,52.9,56.7,43.9,84.3,76.9,82.8,196000,12.18586994,45524,1925.2,16481,9.709963481,0.1168133,1,1,0,53,43,40,45
261,BHP Group,2020,Energy,High Risk,Non-Financial,Australia,Common-Law (Shareholder-Oriented),51692.8,10.85307379,1490967.84,14.21493602,74.9,90.28,82.93,49.3,72.9,89.8,76.9,99,99.2,84.2,66.8,72.7,74,82.9,50.4,83.5,66,39.8,59.8,98.3,77,76.6,84.5,78.6,66.7,67.1,81.2,60,60,67.5,61.5,52.9,56.7,43.9,84.3,76.9,82.8,28926,10.27249612,45139,8306,100861,11.52149861,0.082350958,1,1,0,48,43,48,46
262,Finatis,2020,Food & Drug Stores,High Risk,Non-Financial,France,Code Law (Stakeholder-Oriented),39030.4,10.57209611,2410285.65,14.69525583,80,88.23,73.52,56.8,70,81.1,63.5,97.3,92.5,71,56.1,68.2,79,64.7,56.1,77.8,66.7,42.8,60.8,96.6,72,76,70.3,77.6,80,69.3,73.9,57,77,71,62.1,56,50.8,58.8,72.4,86.3,96.6,209747,12.25365732,45045,-615.6,41093,10.62359307,-0.014980654,1,1,0, , , , 
263,Allstate,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,46035,10.73715726,44675,4847,119950,11.69483027,0.040408504,0,0,0,54,45,58,53
264,China COSCO Shipping,2020,Transportation,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,118243,11.68049711,44655,1086.6,125906,11.74329088,0.008630248,1,1,0, , , , 
265,Shaanxi Yanchang Petroleum (Group),2020,Energy,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,129920,11.77467416,44564,215.2,57549,10.96039204,0.003739422,1,1,0, , , , 
266,China Huaneng Group,2020,Energy,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,130764,11.78114945,44502,186.5,161663,11.9932692,0.001153634,1,1,0,17,19,16,18
267,Toronto-Dominion Bank,2020,Financials,Low Risk,Financial,Canada,Common-Law (Shareholder-Oriented),43294.6,10.67578319,1607402.45,14.29013005,71,91.41,77.35,50.6,74.1,86,70.5,95.6,98.8,79.2,63.3,72.2,71,77.4,56,84.3,67,48.3,61.7,91,81,74.5,77.2,74.5,71.7,79.5,81.6,87,70,69.1,64.9,54.2,58,57,87.7,82.3,69,89031,11.3967399,44502,8781,1076921,13.8896166,0.008153801,0,0,0,87,85,83,84
268,Banco Bradesco,2020,Financials,Low Risk,Financial,Brazil,Code Law (Stakeholder-Oriented),6796.8,8.824207192,1749104.72,14.37461463,51.2,72.06,35.12,48.8,48.1,43,33.8,0,99.8,38.5,48.9,51.9,77,35.6,27.7,67.2,45.7,11.4,28.5,97.2,35,47.1,48.9,46.4,46,63.7,61.1,57,73,49.1,28,29.2,33.5,23.9,51.8,70.9,86.2,86136,11.36368272,44491,5330.5,342747,12.74474784,0.015552288,1,1,0,96,93,80,87
269,Pegatron,2020,Technology,Low Risk,Non-Financial,Taiwan,Code Law (Stakeholder-Oriented), , , , ,57.2,0,83.17, ,68.6,85.8,69.2,96,99.9,78.3,57.4,62.6,70.8,59.4,45.2,75,62.6,49,46.8,92,63,81,76.3,71.7,95,77.2,81.6,70,80,59.4,51.5,47.8,48.9,44.2,72.3,69, ,172995,12.06101797,44207,625,19033,9.853929594,0.032837703,1,1,1,60,31,18,34
270,New York Life Insurance,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,11519,9.351753125,44117,1003.8,330806,12.70928738,0.003034407,1,1,0, , , , 
271,Talanx,2020,Financials,Low Risk,Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,21516,9.976552123,44020,1033.1,199332,12.20272706,0.005182811,1,1,0,60,33,35,38
272,Nationwide,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,28114,10.24402295,43982,829.7,239540,12.3864757,0.003463722,1,1,0, , , , 
273,Shaanxi Coal & Chemical Industry,2020,Energy,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,120802,11.70190812,43798,119.5,78757,11.27412244,0.001517325,1,1,1,5,7,7,7
274,ACS,2020,Engineering & Construction,High Risk,Non-Financial,Spain,Code Law (Stakeholder-Oriented),27063.2,10.20593015,1180730.24,13.98164365,74.3,87.53,75.52,52.7,65.1,91.9,81.2,99.3,98.3,88.6,56.8,56,54,52.8,39.3,78,59.6,31.4,49,98.3,58,67,63.1,63,75,71.8,75.3,63,77,59.5,53.1,38.7,44.3,29.2,70.6,66.1,96.6,190431,12.1570452,43706,1076.7,43316,10.67627736,0.024856866,1,1,1,79,70,59,69
275,Best Buy,2020,Retailing,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,125000,11.73606902,43638,1541,15591,9.654449104,0.098839074,0,0,0,63,39,60,55
276,United Airlines Holdings,2020,Transportation,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,96000,11.47210347,43259,3009,52611,10.8706805,0.057193363,1,1,0,33,15,21,22
277,Hanwha,2020,Financials,Low Risk,Financial,South Korea,Code Law (Stakeholder-Oriented),31631.5,10.36190874,1623895.08,14.30033819,66.5,88.42,76.08,53.9,65.8,85.2,69,99.7,100,72.4,49.2,56.1,60,48.8,40.7,75.1,63.6,37.6,53.2,100,57,72.8,66.9,59.9,91.7,72.5,71.6,73,73,69.5,47.1,54.6,55.2,56.9,87.2,83.1,86.2,57967,10.96762916,43258,77.2,157646,11.96810729,0.000489705,0,0,0,12,6,11,10
278,Liberty Mutual Insurance Group,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,45000,10.71441777,43228,1044,133644,11.80293483,0.007811799,1,1,0, , , , 
279,Accenture,2020,Technology,Low Risk,Non-Financial,Ireland,Common-Law (Shareholder-Oriented),85267.8,11.35355217,392377.01,12.87997842,72.8,89.47,89.39,57.6,73,87.2,73.2,98.6,98.9,78.1,64.9,71.5,73.5,77.5,50,85,65,49,52.7,93.3,73,75.4,78.9,77.3,70,73.8,71.3,87,63,73.1,71.5,56.1,52.4,62.8,85.3,81.4,89.7,492000,13.106234,43215,4779.1,29790,10.30192805,0.160426318,0,0,0,80,53,51,58
280,Rio Tinto Group,2020,Energy,High Risk,Non-Financial,United Kingdom,Common-Law (Shareholder-Oriented),41059.2,10.62277021,2891615.58,14.87732593,81.3,88.25,83.53,54.6,74.4,79.4,61.7,97.6,88.3,69.8,64.4,70.1,74,69.5,59.1,77.8,74,55.6,68.1,98.3,80,78.5,74.9,75.5,85,74.5,73.4,83,67,74.5,60.1,58.4,64.8,51.4,84.2,90.6,96.6,46007,10.73654884,43165,8010,87802,11.38283956,0.09122799,1,1,0,77,74,77,76
281,Sinomach,2020,Industrials,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,146792,11.8967719,43122,452.3,55071,10.91637854,0.008213034,1,1,0, , , , 
282,GlaxoSmithKline,2020,Health Care,Low Risk,Non-Financial,United Kingdom,Common-Law (Shareholder-Oriented),41059.2,10.62277021,2891615.58,14.87732593,81.3,88.25,83.53,54.6,74.4,79.4,61.7,97.6,88.3,69.8,64.4,70.1,74,69.5,59.1,77.8,74,55.6,68.1,98.3,80,78.5,74.9,75.5,85,74.5,73.4,83,67,74.5,60.1,58.4,64.8,51.4,84.2,90.6,96.6,99437,11.50727956,43073,5927.4,105552,11.566959,0.056156207,0,0,0,93,89,86,88
283,Dow,2020,Chemicals,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,36500,10.50506754,42951,-1359,60524,11.01079526,-0.022453903,1,1,0,75,60,74,70
284,Xiamen ITG Holding Group,2020,Wholesalers,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,15178,9.62760229,42790,41.8,14656,9.592605087,0.002852074,1,0,0, , , , 
285,Wilmar International,2020,"Food, Beverages & Tobacco",High Risk,Non-Financial,Singapore,Common-Law (Shareholder-Oriented),59797.8,10.99872415,330099.8,12.70715031,58.1,84.73,85.24,49.3,80.4,96.1,92.6,100,100,91.9,61.8,65.9,78,77.4,59.4,48.6,85.9,74.4,86.6,96.6,85,91.3,89.4,89.3,95,82.5,87.6,93,67,74.5,89.1,85.2,76.5,91.2,74.6,53.9,62.1,90000,11.40756495,42641,1293.4,47049,10.75894489,0.027490489,1,1,0,73,62,73,70
286,Bouygues,2020,Engineering & Construction,High Risk,Non-Financial,France,Code Law (Stakeholder-Oriented),39030.4,10.57209611,2410285.65,14.69525583,80,88.23,73.52,56.8,70,81.1,63.5,97.3,92.5,71,56.1,68.2,79,64.7,56.1,77.8,66.7,42.8,60.8,96.6,72,76,70.3,77.6,80,69.3,73.9,57,77,71,62.1,56,50.8,58.8,72.4,86.3,96.6,130500,11.77912851,42543,1325.2,44171,10.69582374,0.030001585,1,1,0,53,39,35,42
287,Tyson Foods,2020,"Food, Beverages & Tobacco",High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,141000,11.85651517,42405,2022,33097,10.40719792,0.06109315,0,0,0,42,29,31,34
288,Banco do Brasil,2020,Financials,Low Risk,Financial,Brazil,Code Law (Stakeholder-Oriented),6796.8,8.824207192,1749104.72,14.37461463,51.2,72.06,35.12,48.8,48.1,43,33.8,0,99.8,38.5,48.9,51.9,77,35.6,27.7,67.2,45.7,11.4,28.5,97.2,35,47.1,48.9,46.4,46,63.7,61.1,57,73,49.1,28,29.2,33.5,23.9,51.8,70.9,86.2,93190,11.4423957,42180,4157.6,361081,12.79685759,0.011514314,1,1,1,94,88,86,88
289,Sanofi,2020,Health Care,Low Risk,Non-Financial,France,Code Law (Stakeholder-Oriented),39030.4,10.57209611,2410285.65,14.69525583,80,88.23,73.52,56.8,70,81.1,63.5,97.3,92.5,71,56.1,68.2,79,64.7,56.1,77.8,66.7,42.8,60.8,96.6,72,76,70.3,77.6,80,69.3,73.9,57,77,71,62.1,56,50.8,58.8,72.4,86.3,96.6,100409,11.51700712,42119,3140.6,126535,11.74827423,0.02482001,1,1,1,94,88,82,86
290,China United Network Communications,2020,Telecommunications,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,243790,12.40406248,42052,721.2,81001,11.30221678,0.008903594,1,1,0,21,23,18,18
291,Deutsche Bank,2020,Financials,Low Risk,Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,87597,11.38050203,41780,-6032.8,1456509,14.19155303,-0.004141959,1,1,1,82,67,51,60
292,TJX,2020,Retailing,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,286000,12.56374709,41717,3272.2,24145,10.0918326,0.135522883,1,0,0,41,21,25,28
293,UBS Group,2020,Financials,Low Risk,Financial,Switzerland,Code Law (Stakeholder-Oriented),87097,11.37477772,740026.24,13.51444092,81.5,91.78,82.71,60.4,77.5,93.8,84.8,100,100,90.5,62.4,78.8,67.9,87,71,89.5,76,63.2,80.5,84.3,85,85.7,90.4,88.3,78.3,61.6,84.9,33,67,76.8,89.7,67.1,60.5,70.1,68.8,86.7,89.7,68601,11.13606239,41482,4304,972183,13.78729934,0.00442715,1,1,0,97,86,72,80
294,Metro,2020,Food & Drug Stores,High Risk,Non-Financial,Canada,Common-Law (Shareholder-Oriented),43294.6,10.67578319,1607402.45,14.29013005,71,91.41,77.35,50.6,74.1,86,70.5,95.6,98.8,79.2,63.3,72.2,71,77.4,56,84.3,67,48.3,61.7,91,81,74.5,77.2,74.5,71.7,79.5,81.6,87,70,69.1,64.9,54.2,58,57,87.7,82.3,69,97606,11.48869425,41371,-142.1,15803,9.667955074,-0.008991964,1,1,0,23,21,33,26
295,Yankuang Group,2020,Energy,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,101166,11.52451801,41323,274.9,45731,10.73053168,0.00601124,0,0,0,22,18,29,23
296,Cedar Holdings Group,2020,Wholesalers,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,30984,10.34122622,41277,122.1,16737,9.725377117,0.007295214,1,1,0, , , , 
297,Bunge,2020,"Food, Beverages & Tobacco",High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,24000,10.08580911,41140,-1280,18317,9.815584869,-0.069880439,1,1,1,43,41,43,42
298,XMXYG,2020,Wholesalers,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,11635,9.361773076,41135,220,20008,9.903887473,0.010995602,1,0,0, , , , 
299,M&G,2020,Financials,Low Risk,Financial,United Kingdom,Common-Law (Shareholder-Oriented),41059.2,10.62277021,2891615.58,14.87732593,81.3,88.25,83.53,54.6,74.4,79.4,61.7,97.6,88.3,69.8,64.4,70.1,74,69.5,59.1,77.8,74,55.6,68.1,98.3,80,78.5,74.9,75.5,85,74.5,73.4,83,67,74.5,60.1,58.4,64.8,51.4,84.2,90.6,96.6,8021,8.989818381,41076,1429.2,299659,12.61040044,0.004769421,1,1,0,47,28,50,42
300,Mitsubishi Electric,2020,Industrials,High Risk,Non-Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559,4380756.53,15.29273199,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,146518,11.89490357,41045,2040.4,40805,10.6165599,0.050003676,1,1,1,66,41,34,45
301,Jardine Matheson,2020,Retailing,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,464000,13.04763983,40922,2838,97028,11.48275488,0.029249289,1,0,0,0,6,10,6
302,ZF Friedrichshafen,2020,Motor Vehicles & Parts,High Risk,Non-Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,147797,11.90359499,40873,391.7,36310,10.49984846,0.010787662,1,0,0, , , , 
303,Iberdrola,2020,Energy,High Risk,Non-Financial,Spain,Code Law (Stakeholder-Oriented),27063.2,10.20593015,1180730.24,13.98164365,74.3,87.53,75.52,52.7,65.1,91.9,81.2,99.3,98.3,88.6,56.8,56,54,52.8,39.3,78,59.6,31.4,49,98.3,58,67,63.1,63,75,71.8,75.3,63,77,59.5,53.1,38.7,44.3,29.2,70.6,66.1,96.6,34306,10.44307554,40783,3812.5,137347,11.83026585,0.02775816,1,1,0,90,90,87,89
304,Lufthansa Group,2020,Transportation,High Risk,Non-Financial,Germany,Code Law (Stakeholder-Oriented),46208.4,10.74091688,3434435.99,15.04936328,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,118292,11.68091142,40768,1357.7,47881,10.77647405,0.028355715,1,1,0,34,40,33,35
305,China National Aviation Fuel Group,2020,Wholesalers,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,13705,9.525516009,40487,568.7,9712,9.181117513,0.058556425,1,1,0, , , , 
306,TIAA,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.06026497,19294483,16.77532976,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,16533,9.713113663,40454,2460.1,615042,13.32944584,0.003999889,1,1,1, , , , 
307,Midea Group,2020,Industrials,High Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,134897,11.8122668,40440,3504.6,43349,10.67703891,0.080846156,1,1,0,33,19,13,19
308,Shandong Weiqiao Pioneering Group,2020,Apparel,Low Risk,Non-Financial,China, ,10434.8,9.252901653,14631844.42,16.49871084,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,111121,11.61837498,40426,792.1,34842,10.45857883,0.022734057,1,1,0,12,12,9,11
